"title","title_link","publish_date"
"Demographic Change in Europe and Central Asia: A Call for Labour Force Inclusion: Policy Brief","https://unece.org/info/publications/pub/409192","07 November 2025"
"On the road to the Second World Summit for Social Development: contributions from the regional commissions","https://unece.org/info/publications/pub/406359","21 August 2025"
"Unlocking the Potential of an Ageing Workforce","https://unece.org/info/publications/pub/401338","15 April 2025"
"Mental Health of Older Persons","https://unece.org/info/publications/pub/391929","18 June 2024"
"Ensuring Rights and Choices amid Demographic Change: Report on the implementation of the Programme of Action of the International Conference on Population and Development in the UNECE Region","https://unece.org/info/publications/pub/386869","22 December 2023"
"Older Persons in Vulnerable Situations","https://unece.org/info/publications/pub/379861","19 June 2023"
"Proceedings of the 2022 Ministerial Conference on Ageing","https://unece.org/info/publications/pub/372025","18 October 2022"
"MIPAA/RIS+20 Report","https://unece.org/info/publications/pub/369562","27 July 2022"
"Policy Brief on Ageing no 27 on Mainstreaming Ageing - Revisited","https://unece.org/info/publications/pub/365418","24 February 2022"
"Guidelines for Mainstreaming Ageing","https://unece.org/info/publications/pub/354027","16 March 2021"
"Active Ageing Index Analytical report","https://unece.org/info/publications/pub/2804","15 December 2019"
"Road Map for Mainstreaming Ageing in Belarus","https://unece.org/info/publications/pub/2803","02 December 2019"
"Fullfilling the Potential of Present and Future Generations","https://unece.org/info/publications/pub/2802","29 November 2018"
"Proceedings of the 2017 UNECE Ministerial Conference on Ageing","https://unece.org/info/publications/pub/2801","23 January 2018"
"Roadmap for mainstreaming ageing in Georgia","https://unece.org/info/publications/pub/2800","06 May 2015"
"Essay contest: Ageing in Georgia","https://unece.org/info/publications/pub/2799","16 November 2014"
"Региональный доклад ЕЭК ООН: МКНР после 2014 года","https://unece.org/info/publications/pub/2797","19 December 2013"
"UNECE Regional Report: ICPD Beyond 2014","https://unece.org/info/publications/pub/2796","19 December 2013"
"Proceedings of the ICPD Beyond 2014 Regional Conference","https://unece.org/info/publications/pub/2795","18 December 2013"
"Proceedings of the 2012 UNECE Ministerial Conference on Ageing","https://unece.org/info/publications/pub/2794","29 April 2013"
"Roadmap for mainstreaming ageing - Rep. of Moldova","https://unece.org/info/publications/pub/2793","14 June 2012"
"Active Ageing and Quality of Life in Old Age","https://unece.org/info/publications/pub/2792","14 May 2012"
"Roadmap for mainstreaming ageing in Armenia","https://unece.org/info/publications/pub/2791","15 June 2011"
"Intergenerational family relationships in ageing societies, 2010","https://unece.org/info/publications/pub/2773","31 December 2009"
"How Generations and Gender shape demographic change : towards policies based on better knowledge","https://unece.org/info/publications/pub/2808","13 May 2009"
"What UNECE does for you - ... UNECE works on Generations and Gender Programme","https://unece.org/info/publications/pub/2805","01 January 2008"
"A SOCIETY FOR ALL AGES: Challenges and Opportunities","https://unece.org/info/publications/pub/2774","31 December 2007"
"What UNECE does for you - Challenges and opportunities of population ageing","https://unece.org/info/publications/pub/2775","31 December 2006"
"GENERATIONS AND GENDER PROGRAMME Concepts and Guidelines","https://unece.org/info/publications/pub/2809","31 December 2006"
"THE NEW DEMOGRAPHIC REGIME Population challenges and policy responses","https://unece.org/info/publications/pub/2787","01 January 2005"
"GENERATIONS AND GENDER PROGRAMME Survey Instruments","https://unece.org/info/publications/pub/2807","31 December 2004"
"Socio-economic Status and Living Arrangements of Older Persons in Lituhania","https://unece.org/info/publications/pub/2788","02 January 2004"
"Socio-economic Status and Living Arrangements of Older Persons in Latvia","https://unece.org/info/publications/pub/2784","02 January 2003"
"Aging Population: Opportunities and Challenges Europe and North America","https://unece.org/info/publications/pub/2785","01 January 2003"
"Population ageing and Socio-economic Status of Older Persons in Estonia","https://unece.org/info/publications/pub/2783","31 December 2002"
"The Dynamics of Fertility and Partnership in Europe: Insights and Lessons from Comparative Research, Volume I and Volume II","https://unece.org/info/publications/pub/2811","01 January 2002"
